TransactionID,Amount,MerchantID,TransactionType,Location,IsFraud
1,4189.27,688,refund,San Antonio,0
2,2659.71,109,refund,Dallas,0
3,784.0,394,purchase,New York,0
4,3514.4,944,purchase,Philadelphia,0
5,369.07,475,purchase,Phoenix,0
6,3086.22,302,purchase,New York,0
7,1466.9,902,refund,Philadelphia,0
8,917.21,266,purchase,New York,0
9,1625.73,32,refund,Chicago,0
10,662.07,193,purchase,Dallas,0
11,3895.94,349,refund,San Antonio,0
12,944.94,359,purchase,San Jose,0
13,2855.69,219,refund,New York,0
14,4313.82,617,refund,San Jose,0
15,4599.06,529,refund,Philadelphia,0
16,1524.05,462,purchase,San Diego,0
17,2721.95,912,refund,New York,0
18,1357.76,522,refund,New York,0
19,4726.01,456,purchase,Dallas,0
20,1814.95,134,refund,Houston,0
21,269.8,51,refund,San Jose,0
22,512.1,196,purchase,Philadelphia,0
23,2932.64,813,refund,Chicago,0
24,1177.11,878,refund,Philadelphia,0
25,3661.74,521,purchase,Dallas,0
26,3664.95,348,purchase,San Antonio,0
27,4186.42,725,purchase,New York,0
28,1542.27,44,purchase,Houston,0
29,4360.74,605,refund,Chicago,0
30,862.62,347,purchase,San Diego,0
31,1062.73,595,refund,Chicago,0
32,4162.63,163,purchase,San Jose,0
33,3439.54,781,refund,San Antonio,0
34,3953.72,510,purchase,Phoenix,0
35,516.14,469,refund,San Diego,0
36,1069.35,322,refund,Phoenix,0
37,1951.61,991,refund,Philadelphia,0
38,2084.95,369,refund,San Jose,0
39,3204.04,663,purchase,Houston,0
40,58.49,284,refund,Philadelphia,0
41,3472.91,788,refund,San Diego,0
42,1488.04,207,purchase,Los Angeles,0
43,774.15,661,refund,Dallas,0
44,2346.77,31,refund,Houston,0
45,616.82,4,refund,Los Angeles,0
46,2052.8,980,refund,Houston,0
47,4833.08,251,refund,Chicago,0
48,4652.12,334,purchase,San Diego,0
49,2486.55,978,refund,Phoenix,0
50,3968.51,639,purchase,Philadelphia,0
51,29.32,620,refund,Chicago,0
52,817.4,57,refund,Chicago,0
53,1801.08,456,refund,San Jose,0
54,740.67,970,purchase,San Antonio,0
55,2700.55,430,purchase,New York,0
56,875.22,437,purchase,Houston,0
57,3021.84,685,refund,San Diego,0
58,3558.8,274,purchase,Philadelphia,0
59,442.85,12,refund,Chicago,0
60,3836.6,277,refund,Dallas,0
61,4707.89,94,refund,San Antonio,0
62,2069.71,400,purchase,New York,0
63,1022.13,526,refund,Phoenix,0
64,3916.07,576,refund,San Jose,0
65,1977.93,879,refund,Dallas,0
66,720.95,680,purchase,Houston,0
67,1788.8,546,purchase,Philadelphia,0
68,3448.81,219,refund,San Diego,0
69,3443.84,555,refund,Dallas,0
70,493.08,412,purchase,Los Angeles,0
71,4372.58,210,refund,New York,0
72,235.06,363,purchase,New York,0
73,1708.71,112,refund,San Diego,0
74,3374.61,109,refund,New York,0
75,2298.56,469,refund,Philadelphia,0
76,2988.26,823,purchase,San Jose,0
77,2015.55,447,purchase,San Diego,0
78,1509.45,619,refund,Philadelphia,0
79,4611.36,94,refund,Los Angeles,0
80,222.74,620,purchase,Los Angeles,0
81,4298.25,979,refund,Philadelphia,0
82,1007.32,770,refund,Phoenix,0
83,2166.21,807,purchase,New York,0
84,2522.34,52,purchase,Philadelphia,0
85,2282.71,196,purchase,Dallas,0
86,2377.94,282,purchase,Houston,0
87,1081.21,926,refund,Chicago,0
88,4152.22,397,refund,San Antonio,0
89,3947.26,431,refund,Houston,0
90,1370.1,701,refund,Philadelphia,0
91,4922.69,846,refund,New York,0
92,2356.42,941,purchase,New York,0
93,4527.03,817,purchase,Dallas,0
94,2006.0,87,refund,San Antonio,0
